id;price;currency;condition;Marca;Puertas;Tipo de combustible;Kilómetros;Modelo;Versión;Año;adressstate_name;adresscity_name;Motor;Transmisión
183503;2732433;ARS;used;Ford;5;Nafta;26456;Ecosport;1.6 S 110cv 4x2;2016;Capital Federal;Capital Federal;1.6;Manual
135029;3068436;ARS;used;Ford;5;Nafta;92300;Ecosport;2.0 Titanium Powershift 4x2 Dps6;2016;Capital Federal;Capital Federal;2;Automática
170183;2842525;ARS;used;Ford;5;Nafta;79250;Ecosport;1.6 Freestyle 110cv 4x2;2017;Capital Federal;Capital Federal;1.6;Manual
179829;3117612;ARS;used;Ford;5;Nafta;55000;Ecosport;1.6 Freestyle 110cv 4x2;2017;Capital Federal;Capital Federal;1.6;Manual
181783;3127515;ARS;used;Ford;5;Nafta;26516;Ecosport;1.6 Se 110cv 4x2;2017;Capital Federal;Capital Federal;1.6;Manual
184516;3157519;ARS;used;Ford;5;Nafta;86472;Ecosport;1.6 Titanium 110cv 4x2;2017;Capital Federal;Capital Federal;1.6;Manual
184367;3374894;ARS;used;Ford;5;Nafta;62523;Ecosport;2.0 Titanium Powershift 143cv 4x2;2017;Capital Federal;Capital Federal;2;Automática
183828;3493740;ARS;used;Ford;5;Nafta;50124;Ecosport;1.5 Se 123cv 4x2 Manual;2018;Capital Federal;Capital Federal;1.5;Manual
170565;3219531;ARS;used;Ford;5;Nafta;40000;Ecosport;1.5 Se 123cv 4x2 Manual;2018;Capital Federal;Capital Federal;1.5;Manual
182384;3699215;ARS;used;Ford;5;Nafta;55000;Ecosport;1.5 Se 123cv 4x2 Manual;2018;Capital Federal;Capital Federal;1.5;Manual
182653;3747855;ARS;used;Ford;5;Nafta;60417;Ecosport;1.5 Se 123cv 4x2 Manual;2018;Capital Federal;Capital Federal;1.5;Manual
174941;3683068;ARS;used;Ford;5;Nafta;43503;Ecosport;1.5 Titanium 123cv 4x2 Manual;2018;Capital Federal;Capital Federal;1.5;Manual
177298;3445980;ARS;used;Ford;5;Nafta;56249;Ecosport;1.5 Freestyle 123cv 4x2;2019;Capital Federal;Capital Federal;1.5;Manual
180336;4361005;ARS;used;Ford;5;Nafta;63195;Ecosport;2.0 Storm At;2019;Capital Federal;Capital Federal;2;Automática
174972;4177741;ARS;used;Ford;5;Nafta;36078;Ecosport;1.5 Titanium 123cv 4x2 Manual;2020;Capital Federal;Capital Federal;1.5;Manual
153751;1939986;ARS;used;Ford;5;Nafta;83516;Fiesta Kinetic Design;1.6 S 120cv;2014;Capital Federal;Capital Federal;1.6;Manual
182738;1842086;ARS;used;Ford;5;Nafta;;Fiesta Kinetic Design;1.6 Se 120cv;2014;Capital Federal;Capital Federal;1.6;Manual
180195;2097931;ARS;used;Ford;5;Nafta;58000;Fiesta Kinetic Design;1.6 S 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
184042;2019021;ARS;used;Ford;5;Nafta;90223;Fiesta Kinetic Design;1.6 S 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
166945;1763980;ARS;used;Ford;5;Nafta;95000;Fiesta Kinetic Design;1.6 S 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
171703;1871845;ARS;used;Ford;5;Nafta;98694;Fiesta Kinetic Design;1.6 S 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
174275;1950495;ARS;used;Ford;5;Nafta;79000;Fiesta Kinetic Design;1.6 S 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
149864;1922265;ARS;used;Ford;5;Nafta;100888;Fiesta Kinetic Design;1.6 Se 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
139622;2020781;ARS;used;Ford;5;Nafta;89326;Fiesta Kinetic Design;1.6 Se 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
156704;2020787;ARS;used;Ford;5;Nafta;87569;Fiesta Kinetic Design;1.6 Se 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
170545;2030689;ARS;used;Ford;5;Nafta;83712;Fiesta Kinetic Design;1.6 Se 120cv;2015;Capital Federal;Capital Federal;1.6;Manual
177024;2167423;ARS;used;Ford;5;Nafta;82000;Fiesta Kinetic Design;1.6 S 120cv;2016;Capital Federal;Capital Federal;1.6;Manual
179623;2345978;ARS;used;Ford;5;Nafta;54454;Fiesta Kinetic Design;1.6 Se 120cv;2016;Capital Federal;Capital Federal;1.6;Manual
143945;1913614;ARS;used;Ford;5;Nafta;96361;Fiesta Kinetic Design;1.6 S 120cv;2017;Capital Federal;Capital Federal;1.6;Manual
180431;2553547;ARS;used;Ford;5;Nafta;45686;Fiesta Kinetic Design;1.6 Se 120cv;2017;Capital Federal;Capital Federal;1.6;Manual
166777;1742060;ARS;used;Ford;5;Nafta;63709;Focus II;1.6 Trend Sigma;2011;Capital Federal;Capital Federal;1.6;Manual
184346;1832880;ARS;used;Ford;5;Nafta;17603;Focus II;2.0 Trend Plus;2013;Capital Federal;Capital Federal;2;Manual
183175;2464413;ARS;used;Ford;5;Nafta;86585;Focus III;2.0 Se;2014;Capital Federal;Capital Federal;2;Manual
148144;2247897;ARS;used;Ford;4;Nafta;98762;Focus III;2.0 Sedan Se Plus Mt;2014;Capital Federal;Capital Federal;2;Manual
152350;2209306;ARS;used;Ford;4;Nafta;76491;Focus III;2.0 Sedan Se Plus Mt;2014;Capital Federal;Capital Federal;2;Manual
184253;2385457;ARS;used;Ford;4;Nafta;97000;Focus III;2.0 Sedan Se Plus Mt;2014;Capital Federal;Capital Federal;2;Manual
182528;2702061;ARS;used;Ford;4;Nafta;76308;Focus III;2.0 Sedan Titanium At6;2014;Capital Federal;Capital Federal;2;Automática
175566;2326237;ARS;used;Ford;5;Nafta;62681;Focus III;1.6 S L/14;2015;Capital Federal;Capital Federal;1.6;Manual
167484;2159822;ARS;used;Ford;4;Nafta;81581;Focus III;1.6 Sedan S L/16;2015;Capital Federal;Capital Federal;1.6;Manual
178115;2555088;ARS;used;Ford;5;Nafta;83293;Focus III;2.0 Se Plus At6 L/16;2015;Capital Federal;Capital Federal;2;Automática
161431;2329066;ARS;used;Ford;4;Nafta;82500;Focus III;1.6 Sedan S;2016;Capital Federal;Capital Federal;1.6;Manual
179030;2663759;ARS;used;Ford;4;Nafta;77210;Focus III;2.0 Sedan Se;2016;Capital Federal;Capital Federal;2;Manual
166785;2457449;ARS;used;Ford;4;Nafta;85653;Focus III;2.0 Sedan Se;2016;Capital Federal;Capital Federal;2;Manual
184231;2721744;ARS;used;Ford;4;Nafta;100428;Focus III;2.0 Sedan Se;2016;Capital Federal;Capital Federal;2;Manual
183632;2870145;ARS;used;Ford;4;Nafta;87150;Focus III;2.0 Sedan Se Plus Mt;2016;Capital Federal;Capital Federal;2;Manual
137219;2761489;ARS;used;Ford;5;Nafta;89588;Focus III;1.6 S;2017;Capital Federal;Capital Federal;1.6;Manual
168596;2467391;ARS;used;Ford;5;Nafta;82756;Focus III;1.6 S;2017;Capital Federal;Capital Federal;1.6;Manual
184345;2781397;ARS;used;Ford;4;Nafta;74433;Focus III;1.6 Sedan S;2017;Capital Federal;Capital Federal;1.6;Manual
